;ipca;expfocus;crb;hiato;des;credibilidade;d1;d2;d3;d4;d5;d6;d7;d8;d9;d10;d11;selic;dcambio;tjlp_cdb;exprac;ipcacheio
jan/06;0,6;0,45;-2,768580125;-2,219122924;11,23307568;-4,37E-04;1;0;0;0;0;0;0;0;0;0;0;17,65;-0,0116;-11,23351268;0,926801263;0,59
fev/06;0,4;0,33;-3,589318569;-2,68654848;11,1576258;-1,93E-04;0;1;0;0;0;0;0;0;0;0;0;17,28;-0,112;-11,1578188;0,492863231;0,41
mar/06;0,31;0,36;2,325870889;1,47209493;10,85697348;-0,00099362;0;0;1;0;0;0;0;0;0;0;0;16,74;-0,0099;-10,8579671;0,618407229;0,43
abr/06;0,04;0,25;0,536897869;-1,125145461;10,42683846;-4,62E-03;0;0;0;1;0;0;0;0;0;0;0;16,19;-0,0227;-10,43145846;0,540979526;0,21
mai/06;-0,08;0,24;11,59717277;0,438599693;10,58306878;-0,006944444;0;0;0;0;1;0;0;0;0;0;0;15,7;0,0488;-10,59001322;0,807773074;0,1
jun/06;-0,35;0,34;-4,185169275;-0,775413989;11,25046696;-0,004767574;0;0;0;0;0;1;0;0;0;0;0;15,18;0,0702;-11,25523453;0,735324994;-0,21
jul/06;0,13;0,33;0,695633371;0,918773395;11,37637284;0;0;0;0;0;0;0;1;0;0;0;0;14,98;-0,059;-11,37637284;0,657934373;0,19
ago/06;0,09;0,32;-0,420409678;1,348047993;11,51957946;-0,005043058;0;0;0;0;0;0;0;1;0;0;0;14,66;-0,0334;-11,52462252;0,614999038;0,05
set/06;0,21;0,33;2,002008739;-0,593624758;11,60087412;-0,027431641;0;0;0;0;0;0;0;0;1;0;0;14,17;0,0128;-11,62830576;0,708656544;0,21
out/06;0,43;0,34;0,73081218;0,391909975;11,83654556;-0,073889046;0;0;0;0;0;0;0;0;0;1;0;13,95;-0,0204;-11,91043461;0,835009249;0,33
nov/06;0,45;0,37;3,537637938;-0,01301188;12,1592538;-0,08439025;0;0;0;0;0;0;0;0;0;0;1;13,65;0,0096;-12,24364405;0,641361418;0,31
dez/06;0,32;0,4;-0,698839415;-1,05203898;12,11372979;-0,1444;0;0;0;0;0;0;0;0;0;0;0;13,19;-0,008;-12,25812979;0,689146309;0,48
jan/07;0,52;0,45;-0,956673275;-1,781242069;11,93388393;-0,227608507;1;0;0;0;0;0;0;0;0;0;0;13,13;-0,0114;-12,16149244;0,640006406;0,44
