"","date_quarter","ipca_total","ipca_livres","ic_br","hiato","EInf_t+1","EInf_t+2","EInf_t+3","EInf_t+4","EInf_t+5","EInf_t+6","quarter","ipca_l1","ipca_l2","hiato_l3","ic_l1","Einf_1"
"40",2011.4,1.45699717999999,1.67917240519999,890.7649714424,0.579741587900084,1.82143900801176,1.16528486131121,0.933922640336219,1.45670533409089,1.65300554243582,0.652726618538324,"4",1.06340413760002,1.39548442850002,1.50202716931254,873.189157925,1.82143900801176
"41",2012.1,1.22464629200001,1.32543561980001,872.12995656,-0.118399597027374,1.2024176806958,0.928672812930446,1.48822215818173,1.64435898914082,1.15381068776163,0.458843195075753,"1",1.45699717999999,1.06340413760002,1.8600042424749,890.7649714424,1.2024176806958
"42",2012.2,1.08310584319999,1.12319053179999,892.15480672,0.205122217807308,0.918945892881803,1.55447268225668,1.70138921970971,1.23787845670033,0.975189068725424,0.741132154411772,"2",1.22464629200001,1.45699717999999,1.00306352001336,872.12995656,0.918945892881803
"43",2012.3,1.41656104910002,1.67923283,1041.334273184,1.24306481957654,1.57757956105543,1.69512993601308,1.20415399046772,0.984142726291985,1.54139074578622,0.85848021757825,"3",1.08310584319999,1.22464629200001,0.579741587900084,892.15480672,1.57757956105543
"44",2012.4,1.99296896600001,2.276788796,1071.198476525,0.941551214691705,1.57937594350855,1.21808644709867,1.01924914246689,1.54287659417591,1.60133195647654,0.692216360294107,"4",1.41656104910002,1.08310584319999,-0.118399597027374,1041.334273184,1.57937594350855
"45",2013.1,1.94204625199998,2.885980868,1004.87340062,0.729005605110244,1.20229434150672,1.05219114953556,1.58662891818272,1.6461442267742,1.22865406334991,0.483117750952378,"1",1.99296896600001,1.41656104910002,0.205122217807308,1071.198476525,1.20229434150672
"46",2013.2,1.184432291,1.2044620622,965.6569853657,2.2081362430074,1.00098152498085,1.55665258862988,1.73312693620781,1.23407903882385,1.05433935574416,0.747766588235288,"2",1.94204625199998,1.99296896600001,1.24306481957654,1004.87340062,1.00098152498085
"47",2013.3,0.621017252000011,0.822030426800002,1101.9041412578,2.56699693378579,1.74895969354354,1.8108821820076,1.2674940247973,1.06522084807317,1.64787189643396,0.949767962651715,"3",1.184432291,1.94204625199998,0.941551214691705,965.6569853657,1.74895969354354
"48",2013.4,2.04331831760001,2.195548064,1102.459157504,2.17359633290108,1.82761626585324,1.28195052259605,1.04797764135494,1.66375505614366,1.78929734936604,0.70766591176471,"4",0.621017252000011,1.184432291,0.729005605110244,1101.9041412578,1.82761626585324
"49",2014.1,2.17523791400001,2.60129616,1262.2350238658,2.47884626899113,1.3242725884656,1.04161225674569,1.70657468744106,1.82276001209845,1.2115891529936,0.477520418233079,"1",2.04331831760001,0.621017252000011,2.2081362430074,1102.459157504,1.3242725884656
"50",2014.2,1.53761432799999,1.5073638272,1195.622389826,1.12620002962605,0.9582653581103,1.71106805026409,1.87804386547585,1.27556791575339,1.10988730143223,0.769123088281254,"2",2.17523791400001,2.04331831760001,2.56699693378579,1262.2350238658,0.9582653581103
"51",2014.3,0.831507142499999,0.690262946000009,1135.592787509,1.07867748411983,1.74804964755579,1.96696113731928,1.32690373230699,1.08220207440796,1.67532881121892,0.970599627840907,"3",1.53761432799999,2.17523791400001,2.17359633290108,1195.622389826,1.74804964755579
"52",2014.4,1.71941270760001,1.76969602799999,1333.4059738064,1.3646921522779,2.1171244707942,1.34400073374369,1.09862391546478,1.74136700267599,1.77889683753405,0.719233633522731,"4",0.831507142499999,1.53761432799999,2.47884626899113,1135.592787509,2.1171244707942
"53",2015.1,3.82779968960001,2.46995959199996,1382.3539383536,0.104533602539303,1.31811980487027,1.04582143280728,1.70264647960754,1.79326869839135,1.17908760945696,0.381417135416673,"1",1.71941270760001,0.831507142499999,1.12620002962605,1333.4059738064,1.31811980487027
"54",2015.2,2.25675050660001,1.98293108989998,1530.464881764,-1.65261354572186,1.06449569245567,1.67497230459643,1.82195464742546,1.16371344550242,0.913607429232544,0.704554442063499,"2",3.82779968960001,1.71941270760001,1.07867748411983,1382.3539383536,1.06449569245567
"55",2015.3,1.3859073656,1.06354659099999,1878.77249528,-3.05794877773417,1.64039607341175,1.86852038027051,1.19254118125919,0.879470856468956,1.54668150721002,0.94121796218487,"3",2.25675050660001,3.82779968960001,1.3646921522779,1530.464881764,1.64039607341175
"56",2015.4,2.8159295072,2.74416099199999,2089.3474246175,-3.85132812817741,2.1456031814622,1.39291286826089,1.02726240351603,1.70350067971783,1.72619693961379,0.704247283088233,"4",1.3859073656,2.25675050660001,0.104533602539303,1878.77249528,2.1456031814622
"57",2016.1,2.62081014899997,2.88677672959998,2049.8198176546,-4.41029927781025,1.50796268260013,1.11670661573224,1.8619033012476,1.83977527811013,1.26063327509345,0.414250270833338,"1",2.8159295072,1.3859073656,-1.65261354572186,2089.3474246175,1.50796268260013
"58",2016.2,1.74963965300001,1.55790111960001,1781.7204266,-5.07015713999036,1.00882861324116,1.73741196674996,1.84441619895888,1.21144550409997,0.927549150876243,0.696854618649734,"2",2.62081014899997,2.8159295072,-3.05794877773417,2049.8198176546,1.00882861324116
"59",2016.3,1.0430578304,1.21347763999999,1608.7031108501,-5.3346168761314,1.54933591145504,1.73688023082253,1.14063430373121,0.821040923238729,1.48467010440415,0.863536848214275,"3",1.74963965300001,2.62081014899997,-3.85132812817741,1781.7204266,1.54933591145504
"60",2016.4,0.741789403999982,0.741650156000007,1760.8884617492,-6.01846275794701,1.62733981607144,1.06387166400828,0.782154798865261,1.41906231443127,1.54049132777539,0.604910192234853,"4",1.0430578304,1.74963965300001,-4.41029927781025,1608.7031108501,1.62733981607144
"61",2017.1,0.963032134999997,0.681526124999987,1663.136900756,-4.79473328975196,1.00568964559806,0.769569764828337,1.35865568907519,1.48983793383111,0.971906209267082,0.3005385568562,"1",0.741789403999982,1.0430578304,-5.07015713999036,1760.8884617492,1.00568964559806
"62",2017.2,0.21939800180002,0.249542136800018,1630.108555604,-4.36887400753994,0.786550358608965,1.32274224644587,1.43131243309485,0.925196273172986,0.68937444300509,0.57543367142856,"2",0.963032134999997,0.741789403999982,-5.3346168761314,1663.136900756,0.786550358608965
"63",2017.3,0.591144729600002,-0.27024063729999,1586.4239714094,-4.30963360114132,1.27207344551246,1.35847852489798,0.888469625344198,0.666833144448864,1.24946686113419,0.728604517647058,"3",0.21939800180002,0.963032134999997,-6.01846275794701,1630.108555604,1.27207344551246
"64",2017.4,1.14426117439999,0.680670162800001,1819.43066557,-4.39596245547689,1.27304723545951,0.85915465797272,0.664228652617349,1.22559465062451,1.32192078741045,0.537241821428558,"4",0.591144729600002,0.21939800180002,-4.79473328975196,1586.4239714094,1.27304723545951
